Rating,Title,Review Description,Pro,Con,Job Title,Status,Region,Date
3,Fun but can be tiring during festive period,Overall good experience Fun but can be tiring at times Especially during festive period such as Chinese New Year Teach you the skills to handle responsibility and upset customers,nan,nan,Cashier Parttime,Former Employee,Ang mo kio hub,7/11/2017
4,Good work environment,Good place to work at Typical day at work included shelving up stock serving customers and operating the tills The job helped develop my work related skills,nan,nan,Part time Member,Current Employee,Bellshill,16/10/2017
4,Productive and fun place,Refreshing at the end of work Team work is actually group of people Lenient who understand our weakness Coordinate to interact with people to share the same view Fun in work,nan,nan,Storekeeper,Current Employee,680 upper thomson rd,16/10/2017
5,Good team work and communicationhappy work environment,Team work and good communication is most important during work Good benefit The management is more care employee I can free warm and happy Job training provided I can improve and keep daily up,nan,nan,Department supervisor,Former Employee,Jurong Port and expo branch,25/09/2017
3,Good,Work scoped set up ice bed display for seafoodpricing tagserving customer cut fishdisplayed of packed seafood and help out other displayed or replenish of other fruitsvegetables and others,nan,nan,Fish Cutter,Former Employee,Thiong Bahru,24/08/2017
3,Fun,You get to work with friendly people and you get to learn the basics of customers service even though sometimes customers can be tough at times but nothing that can be settled,nan,nan,Retail Assistant,Former Employee,Tampines,26/07/2017
4,NTUC Fairprice is a good company to work for,Working in NTUC Fairprice is fun You get to interact with a lot of people that includes fellow colleagues and different types of customers Aside from that management is real good too Its like working with your family,nan,nan,Retail Assistant PartTime,Current Employee,Bukit Merah,22/07/2017
5,only partrtime job,Handling customers performing cashier job need to be patient tolerate customers Handle difficult customers must be vigilant accuracy and cheerful,nan,nan,Cashier,Former Employee,Rivervale Drive,18/07/2017
5,organised work culture,I was attached in this company for six months as an intern and i certainly enjoyed my experience there as i managed to be apart of every of their departments from being a cashier to storekeeping and stock counting I was also given the opportunity to become a team leader and experience what was it like to supervise and manage a team Overall it was a worthwhile experience,nan,nan,SIP attachment,Former Employee,Pasir Ris,13/07/2017
4,learning with excitement,good company to work with perfect work life balance part time as per availability and salary was descent lots of perks for employees overall it was a learning opportunity,nan,nan,CUSTOMER SERVICE REP,Former Employee,Singapore,25/06/2017
