Rating,Title,Review Description,Pro,Con,Job Title,Status,Region,Date
1,You deserve better,nan,1 Good colleagues but it also depends the department you are working in 2 These go both ways if you are lucky you will get a Reporting Officer RO who doesnt care about you Hence no micromanagement,1 Senior management have the mentality of My ideas always worked before and I know what the customers truly wants attitudes does not listen to any of the actual employees that are working on the ground 2 Salary is not competitive versus the market 3 As a senior staff you are expected to hold appointments in 34 projects at one time The management will tasked the existing staff to take over any leftovers from the ones who left without the intention of hiring more manpower to reduce workload 4 The management expects you to be overworked as it is common in the company and does not believe in giving you a better salary package 5 The management also does not believe in providing opportunities for the junior staff unless they are scholars So if you are not first class honours progression will be real slow for you even if you met your KPIs That being said dont expect a super fast progression if you are first class 6 Not really a major con but bosses like to come in 510 mins before your work day ends for meetings so those rushing to fetch their kids do note 7 Micromanagement only if you are that lucky enough to get an RO who is super into every single moves you made 8 Decisions and changes from management takes about average 56 months to process 9 On the ground engineers Im sorry but it is a fact that you wont be valued as much as those working at main office If you are not seen by the bosses you are not contributing as much 10 The company does conduct employee surveys However they will only take in the good and ignore the legit concerns from employees,Senior Principal Engineer,Current Employee,Ang Mo Kio New Town,11/09/2022
4,Knows how to treat IT staff well,nan,I like the flexible working hours and flexible lunch time hour Varies from Departments and bosses Even if you are tired of your job you can explore other fields in IT within ST Engineering easily,If youre working on confidential projects you cannot work from home If youre working on confidential projects you cannot bring a camera phone in,Software Engineer,Current Employee,nan,14/09/2022
1,Only good as a retirement home or just a stable salary,nan,Stable job Stable pay but still below average,Bad management either hovering over employees or not doing enough to help them Work location is far,Senior Technician,Former Employee,nan,04/11/2022
3,Stable but very slow progression,nan,Stable Good working hours Good benefits,Slow advancement Company tends to look externally for management positions,Principal Engineer,Former Employee,Singapore,29/10/2022
3,Great place to start and have on resume,nan,Colleagues are really friendly and helpful especially at the working level For new hirers the working pace is reasonable enough to learn on the job Some managers are really helpful and willing to teach,Slow progression to say the least Salary package not the most competitive especially after removing SSOS in 2019 Hard work can go unnoticed especially if you are not prominent enough or just doing your day to day work Manpower dwindling but yet company justify that departments are overstaffed so no replacements,Anonymous Employee,Current Employee,nan,25/07/2022
4,Average,nan,Overall the team and colleagues are friendly stable environment,It is considered as government sector and not so much international exposure,Business Development Executive,Current Employee,nan,24/10/2022
3,Depart,nan,Different department give different views,Lots of work to do due to can not find good candidate,Senior Principal Engineer,Current Employee,Singapore,22/10/2022
3,ST should hire more minorities and scale up the pay,nan,Some managers tends to support the engineers,Managers will always lowball when it comes to pay Low pay in IT industry,nan,Former Employee,Ang Mo Kio New Town,17/09/2022
2,Engineers are not driven,nan,work life balance Work can be completed relative easy,Nothing much to learn No innovation,Senior Software Engineer,Current Employee,Singapore,26/10/2022
4,working experience,nan,good HR as well as good envirommnet,Enhance welfare for all staff,Electrical Engineer,Former Employee,nan,27/10/2022
3,Improving,nan,The management is improving Now put the correct person as the manager,Too much workload Tends to overloaded at times,Engineer,Current Employee,nan,22/10/2022
