Rating,Title,Review Description,Pro,Con,Job Title,Status,Region,Date
30,Monotonous,Its just a typical call center Calls come in one after another and its usually the same conversations over and over The pay was great for an entry level job and the benefits were nice too but dont expect to learn much with limited growth opportunities,nan,nan,Customer Service Representative,Former Employee,Salt Lake City UT,March 8 2021
50,Great place to work,This place was so fun to work for Great atmosphere and my job was really fun I would definitely recommend applying They are very competitive and make sure that they hire only the best,nan,nan,Customer service representative,Former Employee,Salt Lake City UT,February 27 2021
50,Amazing place to work,Had a fun time great work environment fantastic people Everyone gets along and the staff are all fun and excited to be there Fantastic food every day as well,nan,nan,Jim on No Good Nick,Former Employee,Los Angeles CA,February 2 2021
40,Great company,When I worked there I enjoyed the csr role that I had I felt like they had decent leadership as well I would recommend working there to one of my colleagues,nan,nan,Customer Service Representative,Former Employee,Frisco TX,January 31 2021
20,Inclusivity Restructured,I specifically left a good job w managers I actually trusted to come work for Netflix because of the culture they advertised I eventually learned the culture did not apply to me as explained by HR The HR Business Partner was completely ineffective only went out of their way conceal concerns I had Once I began to speak up I was retaliated against The culture is lip service and is not practiced in the work environment If it is exceptions have been made and the culture does not apply to everyone There is most definitely a culture of fear I unfortunately witnessed it firsthand These were some of the slimiest managers producers Ive ever had the displeasure of working with they possess the morals of guinea pigs There was also tampering with my payroll information incorrect information purposely placed in my records,nan,nan,Freelance Contractor,Former Employee,Los Angeles CA,January 31 2021
10,Horrible management team,Great people can be found however the toxic environment usually pushes the good ones away fast I have never written one of these but run away from this placedont walk Promises are frequent but management is brutal I have been in management for 20 years and never seen anything this bad,nan,nan,Customer Service Supervisor III,Former Employee,Hillsboro OR,January 21 2021
30,Fun place to work typical customer service job,Management changes up every six months they coached us every week But the customers were usually pretty nice Youd get the usual entitled customer whod be very demanding as to why their netflix didnt work But what do you expect,nan,nan,Customer Service Representative,Former Employee,Salt Lake City UT,January 21 2021
50,Excellent leadership,The leadership there is incredible and they want you to succeed The job itself is really simple but does require a lot of patience Theres room to grow and your supervisors will help you to succeed You get weekly meetings to help you achieve your goals,nan,nan,Customer Service Representative,Current Employee,Clearwater FL,January 19 2021
50,Great management great perks wonderful co workers,Just and overall great company to work for great management and special events for employees Free lunches and snacks free coffee tea and soft drinks Best job I ever had,nan,nan,Customer Service Representative,Former Employee,Fremont CA,January 8 2021
30,Used to be great eroding culture,I joined Netflix 3 years ago right before COVID I enjoyed working thereculture was great the best colleagues and worked on really hard challenging but fulfilling projects Sadly with the rising competition and immense growth the culture of the company has shifted extensively HR does little to address issues with regards to compensation and performance Marketing org is a mess with 3 CMO changes during my tenure,nan,nan,Asset Operations,Former Employee,Singapore,March 22 2023
